//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-16-2018
//--  Time: 15:54
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -10.0(C), 	Resistance 1: 9300.0 Ohms 
//--    Temperature2: 20.0(C), 	Resistance 2: 2500.0 Ohms 
//--    Temperature3: 80.0(C), 	Resistance 3: 335.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
811	13.11	131 	3.960
812	12.89	129 	3.965
813	12.66	127 	3.970
814	12.44	124 	3.975
815	12.22	122 	3.979
816	11.99	120 	3.984
817	11.77	118 	3.989
818	11.54	115 	3.994
819	11.32	113 	3.999
820	11.09	111 	4.004
821	10.86	109 	4.009
822	10.64	106 	4.014
823	10.41	104 	4.019
824	10.18	102 	4.023
825	9.95	99 	4.028
826	9.72	97 	4.033
827	9.49	95 	4.038
828	9.25	93 	4.043
829	9.02	90 	4.048
830	8.79	88 	4.053
831	8.55	86 	4.058
832	8.32	83 	4.063
833	8.08	81 	4.067
834	7.85	78 	4.072
835	7.61	76 	4.077
836	7.37	74 	4.082
837	7.13	71 	4.087
838	6.89	69 	4.092
839	6.65	67 	4.097
840	6.41	64 	4.102
841	6.17	62 	4.106
842	5.93	59 	4.111
843	5.68	57 	4.116
844	5.44	54 	4.121
845	5.19	52 	4.126
846	4.95	49 	4.131
847	4.70	47 	4.136
848	4.45	45 	4.141
849	4.20	42 	4.146
850	3.95	40 	4.150
851	3.70	37 	4.155
852	3.45	35 	4.160
853	3.20	32 	4.165
854	2.95	29 	4.170
855	2.69	27 	4.175
856	2.44	24 	4.180
857	2.18	22 	4.185
858	1.92	19 	4.189
859	1.67	17 	4.194
860	1.41	14 	4.199
861	1.15	11 	4.204
862	0.88	9 	4.209
863	0.62	6 	4.214
864	0.36	4 	4.219
865	0.09	1 	4.224
866	-0.17	-2 	4.229
867	-0.44	-4 	4.233
868	-0.71	-7 	4.238
869	-0.98	-10 	4.243
870	-1.25	-12 	4.248
871	-1.52	-15 	4.253
872	-1.79	-18 	4.258
873	-2.06	-21 	4.263
874	-2.34	-23 	4.268
875	-2.62	-26 	4.272
876	-2.89	-29 	4.277
877	-3.17	-32 	4.282
878	-3.45	-35 	4.287
879	-3.73	-37 	4.292
880	-4.02	-40 	4.297
881	-4.30	-43 	4.302
882	-4.59	-46 	4.307
883	-4.87	-49 	4.312
884	-5.16	-52 	4.316
885	-5.45	-55 	4.321
886	-5.74	-57 	4.326
887	-6.04	-60 	4.331
888	-6.33	-63 	4.336
889	-6.63	-66 	4.341
890	-6.92	-69 	4.346
891	-7.22	-72 	4.351
892	-7.52	-75 	4.355
893	-7.82	-78 	4.360
894	-8.13	-81 	4.365
895	-8.43	-84 	4.370
896	-8.74	-87 	4.375
897	-9.05	-90 	4.380
898	-9.36	-94 	4.385
899	-9.67	-97 	4.390
900	-9.99	-100 	4.395
901	-10.30	-103 	4.399
902	-10.62	-106 	4.404
903	-10.94	-109 	4.409
904	-11.26	-113 	4.414
905	-11.58	-116 	4.419
906	-11.91	-119 	4.424
907	-12.24	-122 	4.429
908	-12.57	-126 	4.434
909	-12.90	-129 	4.438
910	-13.23	-132 	4.443
911	-13.57	-136 	4.448
912	-13.91	-139 	4.453
913	-14.25	-142 	4.458
914	-14.59	-146 	4.463
915	-14.93	-149 	4.468
916	-15.28	-153 	4.473
917	-15.63	-156 	4.478
918	-15.98	-160 	4.482
919	-16.34	-163 	4.487
920	-16.69	-167 	4.492
921	-17.05	-171 	4.497
922	-17.42	-174 	4.502
923	-17.78	-178 	4.507
924	-18.15	-181 	4.512
925	-18.52	-185 	4.517
926	-18.89	-189 	4.521
927	-19.27	-193 	4.526
928	-19.65	-196 	4.531
929	-20.03	-200 	4.536
930	-20.42	-204 	4.541
931	-20.81	-208 	4.546
932	-21.20	-212 	4.551
